loc,cases,deaths,date,Region,year
ILOILO CITY,19,0.0,10/01/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,23,0.0,17/01/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,31,0.0,24/01/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,26,0.0,31/01/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,10,1.0,07/02/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,11,0.0,14/02/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,10,0.0,21/02/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,18,0.0,28/02/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,12,0.0,06/03/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,14,0.0,13/03/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,11,0.0,20/03/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,8,0.0,27/03/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,5,0.0,03/04/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,13,0.0,10/04/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,7,0.0,17/04/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,8,0.0,24/04/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,8,0.0,01/05/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,8,0.0,08/05/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,6,0.0,15/05/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,13,0.0,22/05/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,10,0.0,29/05/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,9,0.0,05/06/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,12,0.0,12/06/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,7,0.0,19/06/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,20,0.0,26/06/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,12,0.0,03/07/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,20,0.0,10/07/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,31,0.0,17/07/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,53,0.0,24/07/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,104,0.0,31/07/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,129,0.0,07/08/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,122,0.0,14/08/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,159,2.0,21/08/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,145,1.0,28/08/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,141,0.0,04/09/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,89,0.0,11/09/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,92,0.0,18/09/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,104,0.0,25/09/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,68,0.0,02/10/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,61,0.0,09/10/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,27,0.0,16/10/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,41,2.0,23/10/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,27,1.0,30/10/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,26,0.0,06/11/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,19,0.0,13/11/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,13,0.0,20/11/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,17,0.0,27/11/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,14,0.0,04/12/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,13,0.0,11/12/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,4,0.0,18/12/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,10,0.0,25/12/2016,REGION VI-WESTERN VISAYAS,2016
ILOILO CITY,1,0.0,01/01/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,7,0.0,08/01/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,13,0.0,15/01/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,9,0.0,22/01/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,7,0.0,29/01/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,8,0.0,05/02/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,6,0.0,12/02/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,6,0.0,19/02/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,6,0.0,26/02/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,4,0.0,05/03/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,3,0.0,12/03/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,3,0.0,19/03/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,2,0.0,26/03/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,1,0.0,02/04/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,3,0.0,09/04/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,0,0.0,16/04/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,2,0.0,23/04/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,4,0.0,30/04/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,2,0.0,07/05/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,0,0.0,14/05/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,0,0.0,21/05/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,3,0.0,28/05/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,1,0.0,04/06/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,3,0.0,11/06/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,2,0.0,18/06/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,3,0.0,25/06/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,4,0.0,02/07/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,7,0.0,09/07/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,10,0.0,16/07/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,13,1.0,23/07/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,17,0.0,30/07/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,24,1.0,06/08/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,24,1.0,13/08/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,26,0.0,20/08/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,28,0.0,27/08/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,18,0.0,10/09/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,14,0.0,24/09/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,15,0.0,08/10/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,13,0.0,22/10/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,10,0.0,05/11/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,13,0.0,19/11/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,7,0.0,26/11/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,9,0.0,03/12/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,13,0.0,10/12/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,3,0.0,17/12/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,5,0.0,24/12/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,2,0.0,31/12/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,0,12.0,03/09/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,0,18.0,17/09/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,0,14.0,01/10/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,0,8.0,15/10/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,0,9.0,29/10/2017,REGION VI-WESTERN VISAYAS,2017
ILOILO CITY,4,0.0,07/01/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,11,0.0,14/01/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,7,0.0,21/01/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,10,0.0,28/01/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,9,0.0,04/02/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,5,0.0,11/02/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,4,0.0,18/02/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,4,0.0,25/02/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,10,0.0,04/03/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,8,0.0,11/03/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,2,0.0,18/03/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,2,0.0,25/03/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,5,0.0,01/04/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,2,0.0,08/04/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,3,0.0,15/04/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,3,0.0,22/04/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,5,0.0,29/04/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,4,0.0,06/05/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,4,0.0,13/05/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,0,0.0,20/05/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,2,0.0,27/05/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,3,0.0,03/06/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,5,0.0,10/06/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,7,0.0,17/06/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,7,0.0,24/06/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,14,0.0,01/07/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,14,0.0,08/07/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,14,0.0,15/07/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,31,1.0,22/07/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,40,0.0,29/07/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,39,0.0,05/08/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,40,2.0,12/08/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,59,0.0,19/08/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,49,0.0,26/08/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,58,1.0,02/09/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,42,1.0,09/09/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,45,1.0,16/09/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,40,0.0,23/09/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,26,0.0,30/09/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,30,0.0,07/10/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,30,0.0,14/10/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,34,0.0,21/10/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,14,0.0,28/10/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,14,0.0,04/11/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,20,0.0,11/11/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,18,0.0,18/11/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,13,0.0,25/11/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,10,0.0,02/12/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,13,0.0,09/12/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,10,0.0,16/12/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,15,0.0,23/12/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,22,0.0,30/12/2018,REGION VI-WESTERN VISAYAS,2018
ILOILO CITY,22,0.0,13/01/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,48,0.0,20/01/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,41,1.0,27/01/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,45,0.0,03/02/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,49,0.0,10/02/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,48,0.0,17/02/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,40,1.0,24/02/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,36,1.0,03/03/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,37,1.0,10/03/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,26,1.0,17/03/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,25,0.0,24/03/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,23,0.0,31/03/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,21,0.0,07/04/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,10,0.0,14/04/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,6,0.0,21/04/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,8,0.0,28/04/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,17,0.0,05/05/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,16,0.0,12/05/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,15,0.0,19/05/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,12,0.0,26/05/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,16,0.0,02/06/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,8,0.0,09/06/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,18,0.0,16/06/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,24,0.0,23/06/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,45,0.0,30/06/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,75,0.0,07/07/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,110,1.0,14/07/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,164,2.0,21/07/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,311,1.0,28/07/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,286,2.0,04/08/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,319,1.0,11/08/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,278,2.0,18/08/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,193,0.0,25/08/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,189,0.0,01/09/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,142,0.0,08/09/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,121,2.0,15/09/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,96,0.0,22/09/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,69,0.0,29/09/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,62,0.0,06/10/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,48,0.0,13/10/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,57,0.0,20/10/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,40,0.0,27/10/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,27,0.0,03/11/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,37,0.0,10/11/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,34,0.0,17/11/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,9,0.0,24/11/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,11,0.0,01/12/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,11,0.0,08/12/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,17,0.0,15/12/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,14,0.0,22/12/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,6,0.0,29/12/2019,REGION VI-WESTERN VISAYAS,2019
ILOILO CITY,0,0.0,05/01/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,9,0.0,12/01/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,15,0.0,19/01/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,17,0.0,26/01/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,14,0.0,02/02/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,12,0.0,09/02/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,22,0.0,16/02/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,10,0.0,23/02/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,14,0.0,01/03/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,14,0.0,08/03/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,12,1.0,15/03/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,10,0.0,22/03/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,11,0.0,29/03/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,5,0.0,05/04/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,0,0.0,12/04/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,1,0.0,19/04/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,1,0.0,26/04/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,2,0.0,03/05/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,0,0.0,10/05/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,1,0.0,17/05/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,0,0.0,24/05/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,1,0.0,31/05/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,3,0.0,07/06/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,3,0.0,14/06/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,2,0.0,21/06/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,4,0.0,28/06/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,2,0.0,05/07/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,7,0.0,12/07/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,5,0.0,19/07/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,4,0.0,26/07/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,9,0.0,02/08/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,6,0.0,09/08/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,5,0.0,16/08/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,8,0.0,23/08/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,3,0.0,30/08/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,2,0.0,06/09/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,3,0.0,13/09/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,3,0.0,20/09/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,1,0.0,27/09/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,0,0.0,04/10/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,0,0.0,11/10/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,1,0.0,18/10/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,2,0.0,25/10/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,0,0.0,01/11/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,1,0.0,08/11/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,2,1.0,15/11/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,3,0.0,22/11/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,8,0.0,29/11/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,1,0.0,06/12/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,0,0.0,13/12/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,3,0.0,20/12/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,5,0.0,27/12/2020,REGION VI-WESTERN VISAYAS,2020
ILOILO CITY,2,0.0,03/01/2021,REGION VI-WESTERN VISAYAS,2021
ILOILO CITY,0,0.0,10/01/2021,REGION VI-WESTERN VISAYAS,2021
